Medicine Name *,Type *,SKU,Strength *,Strength Unit *,Category,Store *,Cost Price *,Selling Price,Opening Stock,Barcode,Batch Number,Manufacturing Date,Expiry Date,Brand,Discount Eligible,Max Discount Type,Max Discount Value
Paracetamol 500mg,tablet,SMP064345-001,500,mg,Analgesics,Medicare Pharmacy Store,5,6.25,10,89064345001,B064345-001,2025-01-01,2027-01-04,Getz,No,,
Amoxicillin 250mg,capsule,SMP064345-002,250,mg,Antibiotics,Medicare Pharmacy Store,8,10.64,12,89064345002,B064345-002,2026-02-02,2029-02-05,Searle,No,,
Amoxicillin 500mg,capsule,SMP064345-003,500,mg,Antihistamines,Medicare Pharmacy Store,11,15.51,14,89064345003,B064345-003,2025-03-03,2027-03-06,GSK,No,,
Cetirizine 10mg,tablet,SMP064345-004,10,mg,Antacids,Medicare Pharmacy Store,14,20.86,16,89064345004,B064345-004,2026-04-04,2029-04-07,Abbott,No,,
Omeprazole 20mg,capsule,SMP064345-005,20,mg,Cardiovascular,Medicare Pharmacy Store,17,26.69,18,89064345005,B064345-005,2025-05-05,2027-05-08,Hilton,No,,
Azithromycin 500mg,tablet,SMP064345-006,500,mg,Diabetes,Medicare Pharmacy Store,20,25,20,89064345006,B064345-006,2026-06-06,2029-06-09,Sami,No,,
Metformin 500mg,tablet,SMP064345-007,500,mg,Vitamins,Medicare Pharmacy Store,23,30.59,22,89064345007,B064345-007,2025-07-07,2027-07-10,Highnoon,No,,
Metformin 850mg,tablet,SMP064345-008,850,mg,Respiratory,Medicare Pharmacy Store,22.5,31.72,24,89064345008,B064345-008,2026-08-08,2029-08-11,Martin Dow,No,,
Amlodipine 5mg,tablet,SMP064345-009,5,mg,Dermatology,Medicare Pharmacy Store,25.5,37.99,26,89064345009,B064345-009,2025-09-09,2027-09-12,Pfizer,No,,
Amlodipine 10mg,tablet,SMP064345-010,10,mg,Injectables,Medicare Pharmacy Store,28.5,44.75,28,89064345010,B064345-010,2026-10-10,2029-10-13,Novartis,No,,
Atorvastatin 10mg,tablet,SMP064345-011,10,mg,Analgesics,Medicare Pharmacy Store,31.5,39.38,30,89064345011,B064345-011,2025-11-11,2027-11-14,Generic,No,,
Atorvastatin 20mg,tablet,SMP064345-012,20,mg,Antibiotics,Medicare Pharmacy Store,34.5,45.89,32,89064345012,B064345-012,2026-12-12,2029-12-15,Getz,No,,
Losartan 50mg,tablet,SMP064345-013,50,mg,Antihistamines,Medicare Pharmacy Store,37.5,52.88,34,89064345013,B064345-013,2025-01-13,2027-01-16,Searle,No,,
Losartan 100mg,tablet,SMP064345-014,100,mg,Antacids,Medicare Pharmacy Store,40.5,60.34,36,89064345014,B064345-014,2026-02-14,2029-02-17,GSK,No,,
Ibuprofen 400mg,tablet,SMP064345-015,400,mg,Cardiovascular,Medicare Pharmacy Store,40,62.8,38,89064345015,B064345-015,2025-03-15,2027-03-18,Abbott,No,,
Diclofenac 50mg,tablet,SMP064345-016,50,mg,Diabetes,Medicare Pharmacy Store,43,53.75,40,89064345016,B064345-016,2026-04-16,2029-04-19,Hilton,No,,
Ciprofloxacin 500mg,tablet,SMP064345-017,500,mg,Vitamins,Medicare Pharmacy Store,46,61.18,42,89064345017,B064345-017,2025-05-17,2027-05-20,Sami,No,,
Levofloxacin 500mg,tablet,SMP064345-018,500,mg,Respiratory,Medicare Pharmacy Store,49,69.09,44,89064345018,B064345-018,2026-06-18,2029-06-21,Highnoon,No,,
Clarithromycin 250mg,tablet,SMP064345-019,250,mg,Dermatology,Medicare Pharmacy Store,52,77.48,46,89064345019,B064345-019,2025-07-19,2027-07-22,Martin Dow,No,,
Doxycycline 100mg,capsule,SMP064345-020,100,mg,Injectables,Medicare Pharmacy Store,55,86.35,48,89064345020,B064345-020,2026-08-20,2029-08-23,Pfizer,No,,
Pantoprazole 40mg,tablet,SMP064345-021,40,mg,Analgesics,Medicare Pharmacy Store,58,72.5,50,89064345021,B064345-021,2025-09-21,2027-09-24,Novartis,No,,
Esomeprazole 40mg,capsule,SMP064345-022,40,mg,Antibiotics,Medicare Pharmacy Store,57.5,76.48,52,89064345022,B064345-022,2026-10-22,2029-10-25,Generic,No,,
Ranitidine 150mg,tablet,SMP064345-023,150,mg,Antihistamines,Medicare Pharmacy Store,60.5,85.3,54,89064345023,B064345-023,2025-11-23,2027-11-26,Getz,No,,
Domperidone 10mg,tablet,SMP064345-024,10,mg,Antacids,Medicare Pharmacy Store,63.5,94.61,56,89064345024,B064345-024,2026-12-24,2029-12-27,Searle,No,,
Ondansetron 8mg,tablet,SMP064345-025,8,mg,Cardiovascular,Medicare Pharmacy Store,66.5,104.41,58,89064345025,B064345-025,2025-01-25,2027-01-28,GSK,No,,
Montelukast 10mg,tablet,SMP064345-026,10,mg,Diabetes,Medicare Pharmacy Store,69.5,86.88,60,89064345026,B064345-026,2026-02-26,2029-02-28,Abbott,No,,
Salbutamol 100mcg,inhaler,SMP064345-027,100,mcg,Vitamins,Medicare Pharmacy Store,72.5,96.43,62,89064345027,B064345-027,2025-03-27,2027-03-28,Hilton,No,,
Budesonide 200mcg,inhaler,SMP064345-028,200,mcg,Respiratory,Medicare Pharmacy Store,75.5,106.45,64,89064345028,B064345-028,2026-04-01,2029-04-04,Sami,No,,
